[x^34,  x^35,  x^4,  x^38,  x^39,  x^23,  3,  x^42,  x^43,  x^46,  x^12,  x^47,  x^31,  2, ] 
[x,  x^30,  x^34,  3,  x^9,  x^38,  x^12,  x^13,  x^15,  x^17,  x^18,  6,  x^25,  x^28, ] 
[1,  x,  x^18,  x^4,  x^22,  x^5,  x^41,  3,  x^26,  x^9,  x^44,  x^45,  x^14,  x^33, ] 
[x^36,  x^6,  3,  x^26,  x^10,  x^11,  x^28,  x^45,  x^13,  x^47,  x^14,  x^15,  4,  x^33, ] 
[x^34,  x^2,  x^39,  x^6,  6,  x^7,  3,  x^28,  x^12,  x^30,  x^13,  x^47,  x^31,  x^15, ] 
[x^2,  x^3,  x^37,  x^4,  x^39,  x^6,  6,  x^42,  x^43,  x^46,  x^12,  x^29,  x^31,  4, ] 
[x^34,  x^35,  x^4,  x^38,  x^39,  x^23,  3,  x^10,  x^11,  x^28,  x^47,  x^14,  x^15,  4, ] 
[x^34,  x^19,  x^4,  x^22,  x^39,  x^23,  5,  x^42,  x^11,  x^12,  x^47,  x^14,  x^31,  4, ] 
[x^34,  x^2,  x^39,  x^6,  5,  x^41,  3,  x^44,  x^45,  x^12,  x^47,  x^14,  x^31,  x^33, ] 
[x,  x^2,  x^3,  x^6,  x^7,  x^9,  x^41,  x^12,  x^43,  x^44,  2,  x^18,  x^22,  6, ] 
[x^34,  x^5,  x^36,  x^7,  5,  x^41,  x^14,  x^44,  2,  x^18,  x^19,  x^21,  x^22,  x^23, ] 
[1,  x^35,  x^20,  x^4,  x^38,  3,  x^26,  x^43,  x^9,  x^27,  x^10,  x^45,  x^11,  x^30, ] 
[x^18,  x^36,  x^19,  x^38,  x^21,  x^22,  x^23,  x^7,  x^42,  x^43,  x^9,  x^12,  4,  2, ] 
[x^36,  x^37,  x^6,  5,  x^41,  x^25,  x^43,  x^27,  x^10,  x^11,  x^45,  x^29,  x^13,  0, ] 
[1,  x^29,  x^5,  x^37,  x^38,  x^39,  x^42,  x^13,  x^45,  0,  x^20,  x^21,  x^25,  x^27, ] 
[1,  x^34,  x^35,  x^19,  x^4,  x^22,  x^23,  5,  x^26,  x^27,  x^44,  x^11,  x^30,  x^31, ] 
[x^29,  x^31,  x^4,  x^34,  x^5,  x^37,  x^39,  5,  x^41,  x^17,  x^46,  0,  x^23,  x^25, ] 
[x,  x^30,  x^2,  x^3,  x^35,  x^37,  x^10,  5,  x^12,  2,  x^17,  x^46,  x^47,  x^20, ] 
[x^34,  x^18,  x^36,  x^19,  x^37,  x^21,  x^5,  5,  3,  x^45,  x^12,  x^13,  x^30,  x^14, ] 
[x^18,  x^2,  x^3,  x^20,  x^5,  x^39,  6,  x^7,  3,  x^28,  x^46,  x^47,  x^14,  x^15, ] 
